Edition,Quantity,Type,Name,Cost,Rubles,Points,Other,Abbrev.
2,1,trading worker,Gold Smelter,6,3,0,1 discount per aristocrat; replaces Gold Miner,tw6
2,2,trading worker,Weaving Mill,8,6,0,replaces Shepherd,tw8
2,3,trading worker,Fur Shop,10,3,2,replaces Fur Trapper,tw10
2,3,trading worker,Wharf,12,6,1,replaces Ship Builder,tw12
2,1,trading building,Mariinskij Theater,15,0,0,1 ruble per aristocrat card,tb15m
2,1,trading building,Bank,13,5,1,,tb13
2,1,trading building,Peterhof,14,4,2,,tb14
2,1,trading building,St. Isaac's Cathedral,15,3,3,,tb15
2,1,trading building,Harbor,16,5,2,,tb16h
2,1,trading building,Church of the Resurrection of Jesus Christ,16,2,4,,tb16c
2,1,trading building,Catherine the Great Palace,17,1,5,,tb17c
2,1,trading building,Smolny Cathedral,17,4,3,,tb17s
2,1,trading building,Hermitage,18,3,4,,tb18
2,1,trading building,Winter Palace,19,2,5,,tb19
2,1,trading aristocrat,Abbot,6,1,1,,ta6
2,1,trading aristocrat,Chamber Maid,8,4,0,,ta8c
2,1,trading aristocrat,Weapon Master,8,0,2,,ta8w
2,1,trading aristocrat,Builder,10,5,0,,ta10
2,1,trading aristocrat,Senator,12,2,2,,ta12
2,1,trading aristocrat,Patriarch,16,0,4,,ta16p
2,1,trading aristocrat,Tax Man,17,0,0,1 ruble per worker card,ta17
2,1,trading aristocrat,Admiral,18,3,3,,ta18
2,1,trading aristocrat,Minister of Foreign Affairs,20,2,4,,ta20
2,1,trading aristocrat,Czarina,24,0,6,,ta24
